service_id,date,exception_type
14127-55127,20151122,1
14127-55127,20151129,1
14127-55127,20151206,1
14127-55127,20151225,1
14127-55127,20151227,1
14127-55127,20160101,1
14127-55127,20160103,1
15127,20151115,1
15127,20151122,1
15127,20151129,1
15127,20151206,1
15127,20151213,1
15127,20151220,1
15127,20151227,1
15127,20160103,1
16127,20151115,1
16127,20151122,1
16127,20151129,1
16127,20151206,1
16127,20151213,1
16127,20151220,1
16127,20151225,1
16127,20151227,1
16127,20160101,1
16127,20160103,1
17127-26127,20151115,1
17127-26127,20151122,1
17127-26127,20151129,1
17127-26127,20151206,1
17127-26127,20151225,1
17127-26127,20151227,1
17127-26127,20160101,1
17127-26127,20160103,1
17127-26127-40127,20151115,1
17127-26127-40127,20151122,1
17127-26127-40127,20151129,1
17127-26127-40127,20151206,1
17127-26127-40127,20151213,1
17127-26127-40127,20151220,1
17127-26127-40127,20151225,1
17127-26127-40127,20151227,1
17127-26127-40127,20160101,1
17127-26127-40127,20160103,1
18127,20151115,1
18127,20151122,1
18127,20151129,1
18127,20151206,1
18127,20151225,1
18127,20151227,1
18127,20160101,1
18127,20160103,1
19127,20151115,1
19127,20151122,1
19127,20151129,1
19127,20151206,1
19127-42127-56127,20151115,1
19127-42127-56127,20151122,1
19127-42127-56127,20151129,1
19127-42127-56127,20151206,1
19127-42127-56127,20151213,1
19127-42127-56127,20151220,1
19127-42127-56127,20151225,1
19127-42127-56127,20151227,1
19127-42127-56127,20160101,1
19127-42127-56127,20160103,1
19127-56127,20151115,1
19127-56127,20151122,1
19127-56127,20151129,1
19127-56127,20151206,1
19127-56127,20151225,1
19127-56127,20151227,1
19127-56127,20160101,1
19127-56127,20160103,1
20127-22127-23127,20151116,1
20127-22127-23127,20151117,1
20127-22127-23127,20151118,1
20127-22127-23127,20151216,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151112,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151113,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151116,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151117,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151118,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151119,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151120,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151123,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151124,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151125,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151126,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151127,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151130,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151201,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151202,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151203,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151204,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151207,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151208,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151209,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151210,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151211,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151214,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151215,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151216,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151217,1
20127-22127-23127-28127-30127-31127-4127-43127-7127,20151218,1
20127-22127-28127-30127-4127-43127,20151112,1
20127-22127-28127-30127-4127-43127,20151116,1
20127-22127-28127-30127-4127-43127,20151117,1
20127-22127-28127-30127-4127-43127,20151119,1
20127-22127-28127-30127-4127-43127,20151123,1
20127-22127-28127-30127-4127-43127,20151124,1
20127-22127-28127-30127-4127-43127,20151126,1
20127-22127-28127-30127-4127-43127,20151130,1
20127-22127-28127-30127-4127-43127,20151201,1
20127-22127-28127-30127-4127-43127,20151203,1
20127-22127-28127-30127-4127-43127,20151207,1
20127-22127-28127-30127-4127-43127,20151208,1
20127-22127-28127-30127-4127-43127,20151210,1
20127-22127-28127-30127-4127-43127,20151214,1
20127-22127-28127-30127-4127-43127,20151215,1
20127-22127-28127-30127-4127-43127,20151217,1
20127-22127-28127-30127-4127-43127-7127,20151112,1
20127-22127-28127-30127-4127-43127-7127,20151113,1
20127-22127-28127-30127-4127-43127-7127,20151116,1
20127-22127-28127-30127-4127-43127-7127,20151117,1
20127-22127-28127-30127-4127-43127-7127,20151119,1
20127-22127-28127-30127-4127-43127-7127,20151120,1
20127-22127-28127-30127-4127-43127-7127,20151123,1
20127-22127-28127-30127-4127-43127-7127,20151124,1
20127-22127-28127-30127-4127-43127-7127,20151126,1
20127-22127-28127-30127-4127-43127-7127,20151127,1
20127-22127-28127-30127-4127-43127-7127,20151130,1
20127-22127-28127-30127-4127-43127-7127,20151201,1
20127-22127-28127-30127-4127-43127-7127,20151203,1
20127-22127-28127-30127-4127-43127-7127,20151204,1
20127-22127-28127-30127-4127-43127-7127,20151207,1
20127-22127-28127-30127-4127-43127-7127,20151208,1
20127-22127-28127-30127-4127-43127-7127,20151210,1
20127-22127-28127-30127-4127-43127-7127,20151211,1
20127-22127-28127-30127-4127-43127-7127,20151214,1
20127-22127-28127-30127-4127-43127-7127,20151215,1
20127-22127-28127-30127-4127-43127-7127,20151217,1
20127-22127-28127-30127-4127-43127-7127,20151218,1
21127-24127-25127,20151116,1
21127-24127-25127,20151117,1
21127-24127-25127,20151118,1
21127-24127-25127,20151119,1
21127-24127-25127-29127-51127-5127-54127,20151112,1
21127-24127-25127-29127-51127-5127-54127,20151113,1
21127-24127-25127-29127-51127-5127-54127,20151116,1
21127-24127-25127-29127-51127-5127-54127,20151117,1
21127-24127-25127-29127-51127-5127-54127,20151118,1
21127-24127-25127-29127-51127-5127-54127,20151119,1
21127-24127-25127-29127-51127-5127-54127,20151120,1
21127-24127-25127-29127-51127-5127-54127,20151123,1
21127-24127-25127-29127-51127-5127-54127,20151124,1
21127-24127-25127-29127-51127-5127-54127,20151125,1
21127-24127-25127-29127-51127-5127-54127,20151126,1
21127-24127-25127-29127-51127-5127-54127,20151127,1
21127-24127-25127-29127-51127-5127-54127,20151130,1
21127-24127-25127-29127-51127-5127-54127,20151204,1
21127-24127-25127-29127-51127-5127-54127,20151207,1
21127-24127-25127-29127-51127-5127-54127,20151208,1
21127-24127-25127-29127-51127-5127-54127,20151209,1
21127-24127-25127-29127-51127-5127-54127,20151210,1
21127-24127-25127-29127-51127-5127-54127,20151211,1
21127-24127-25127-29127-51127-5127-54127,20151214,1
21127-24127-25127-29127-51127-5127-54127,20151215,1
21127-24127-25127-29127-51127-5127-54127,20151216,1
21127-24127-25127-29127-51127-5127-54127,20151217,1
21127-24127-25127-29127-51127-5127-54127,20151218,1
21127-24127-25127-29127-51127-5127-54127,20151221,1
21127-24127-25127-29127-51127-5127-54127,20151222,1
21127-24127-25127-29127-51127-5127-54127,20151223,1
21127-24127-25127-29127-51127-5127-54127,20151224,1
21127-24127-25127-29127-5127,20151112,1
21127-24127-25127-29127-5127,20151113,1
21127-24127-25127-29127-5127,20151116,1
21127-24127-25127-29127-5127,20151117,1
21127-24127-25127-29127-5127,20151118,1
21127-24127-25127-29127-5127,20151119,1
21127-24127-25127-29127-5127,20151120,1
21127-24127-25127-29127-5127,20151123,1
21127-24127-25127-29127-5127,20151124,1
21127-24127-25127-29127-5127,20151125,1
21127-24127-25127-29127-5127,20151126,1
21127-24127-25127-29127-5127,20151127,1
21127-24127-25127-29127-5127,20151130,1
21127-24127-25127-29127-5127,20151204,1
21127-24127-25127-29127-5127,20151207,1
21127-24127-25127-29127-5127,20151208,1
21127-24127-25127-29127-5127,20151209,1
21127-24127-25127-29127-5127,20151210,1
21127-24127-25127-29127-5127,20151211,1
21127-24127-25127-29127-5127,20151214,1
21127-24127-25127-29127-5127,20151215,1
21127-24127-25127-29127-5127,20151216,1
21127-24127-25127-29127-5127,20151217,1
21127-24127-25127-29127-5127,20151218,1
2127,20151112,1
2127,20151113,1
2127,20151116,1
2127,20151117,1
2127,20151118,1
2127,20151119,1
2127,20151120,1
2127,20151123,1
2127,20151124,1
2127,20151125,1
2127,20151126,1
2127,20151127,1
2127,20151130,1
2127,20151201,1
2127,20151202,1
2127,20151203,1
2127,20151204,1
2127,20151207,1
2127,20151208,1
2127,20151209,1
2127,20151210,1
2127,20151211,1
2127,20151214,1
2127,20151215,1
2127,20151216,1
2127,20151217,1
2127,20151218,1
2127,20151225,1
2127,20160101,1
23127-31127,20151118,1
23127-31127,20151125,1
23127-31127,20151202,1
23127-31127,20151209,1
23127-31127,20151216,1
24127-25127-29127-5127,20151112,1
24127-25127-29127-5127,20151113,1
24127-25127-29127-5127,20151118,1
24127-25127-29127-5127,20151119,1
24127-25127-29127-5127,20151120,1
24127-25127-29127-5127,20151123,1
24127-25127-29127-5127,20151124,1
24127-25127-29127-5127,20151125,1
24127-25127-29127-5127,20151126,1
24127-25127-29127-5127,20151127,1
24127-25127-29127-5127,20151130,1
24127-25127-29127-5127,20151204,1
24127-25127-29127-5127,20151207,1
24127-25127-29127-5127,20151208,1
24127-25127-29127-5127,20151209,1
24127-25127-29127-5127,20151210,1
24127-25127-29127-5127,20151211,1
24127-25127-29127-5127,20151214,1
24127-25127-29127-5127,20151215,1
24127-25127-29127-5127,20151216,1
24127-25127-29127-5127,20151217,1
24127-25127-29127-5127,20151218,1
26127,20151122,1
26127,20151129,1
26127,20151206,1
26127,20151225,1
26127,20151227,1
26127,20160101,1
26127,20160103,1
27127,20151123,1
27127,20151124,1
27127,20151125,1
27127,20151126,1
27127,20151127,1
27127,20151130,1
27127,20151201,1
27127,20151202,1
27127,20151203,1
27127,20151204,1
27127,20151207,1
27127,20151208,1
27127,20151209,1
27127,20151210,1
27127,20151211,1
27127,20151214,1
27127,20151215,1
27127,20151216,1
27127,20151217,1
27127,20151218,1
27127-3127,20151112,1
27127-3127,20151113,1
27127-3127,20151116,1
27127-3127,20151117,1
27127-3127,20151118,1
27127-3127,20151119,1
27127-3127,20151120,1
27127-3127,20151123,1
27127-3127,20151124,1
27127-3127,20151125,1
27127-3127,20151126,1
27127-3127,20151127,1
27127-3127,20151130,1
27127-3127,20151201,1
27127-3127,20151202,1
27127-3127,20151203,1
27127-3127,20151204,1
27127-3127,20151207,1
27127-3127,20151208,1
27127-3127,20151209,1
27127-3127,20151210,1
27127-3127,20151211,1
27127-3127,20151214,1
27127-3127,20151215,1
27127-3127,20151216,1
27127-3127,20151217,1
27127-3127,20151218,1
28127-30127-31127-4127-7127,20151112,1
