stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
1181,"VEUREY-VOROIZE, LES ECHALIERES",45.26824,5.61944,,GENECHALIER,1
1182,"GIERES, UNIVERSITES - BIOLOGIE",45.19195,5.77474,,GENBIOLOGIE,1
1184,"SAINT-MARTIN-D'HERES, SCIENCES SOCIALES",45.19017,5.76921,,GENSCIENSOC,1
1185,"ECHIROLLES, DENIS PAPIN",45.13887,5.71323,,GENDENPAPIN,1
1186,"ECHIROLLES, DENIS PAPIN",45.13825,5.71271,,GENDENPAPIN,1
1187,"ECHIROLLES, AUGUSTE FERRIER",45.14483,5.70962,,GENAUGUFERR,1
1188,"EYBENS, VAL D'EYBENS",45.15905,5.74558,,GENVALEYBEN,1
1191,"ECHIROLLES, AUGUSTE DELAUNE",45.14267,5.71648,,GENADELAUNE,0
1192,"ECHIROLLES, AUGUSTE DELAUNE",45.14275,5.71609,,GENADELAUNE,0
1193,"ECHIROLLES, GAY LUSSAC",45.13645,5.71214,,GENGAYLUSSA,1
1195,"SAINT-EGREVE, CUVILLEUX",45.23469,5.68741,,GENCUVILLEU,1
1199,"ECHIROLLES, VAILLANT-COUTURIER",45.14881,5.70593,,GENVAILCOUT,1
1200,"ECHIROLLES, VAILLANT-COUTURIER",45.1482,5.70554,,GENVAILCOUT,1
1201,"ECHIROLLES, ECUREUIL",45.14383,5.70423,,GENECUREUIL,1
1202,"GRENOBLE, XAVIER JOUVIN",45.1956,5.73009,,GENXAVJOUVI,1
1203,"ECHIROLLES, ECUREUIL",45.14355,5.70399,,GENECUREUIL,1
1204,"SAINT-MARTIN-D'HERES, LE MARAIS",45.16372,5.75108,,GENLEMARAIS,0
1205,"LE PONT-DE-CLAIX, FLOTTIBULLE",45.13791,5.70227,,GENFLOTTIBU,1
1207,"LE PONT-DE-CLAIX, ALLEES DE NICE",45.13198,5.70024,,GENALLENICE,1
1208,"LE PONT-DE-CLAIX, ALLEES DE NICE",45.13166,5.7,,GENALLENICE,1
1209,"ECHIROLLES, BAYARD",45.1464,5.70511,,GENBAYARD,1
1210,"LE PONT-DE-CLAIX, FLOTTIBULLE",45.13786,5.70205,,GENFLOTTIBU,1
1211,"LE PONT-DE-CLAIX, CLOS DOMINIQUE",45.13546,5.70127,,GENCLOSDOMI,1
1212,"LE PONT-DE-CLAIX, MARCELLINE",45.12614,5.69829,,GENMARCELLI,1
1214,"LE PONT-DE-CLAIX, MARCELLINE",45.12553,5.69795,,GENMARCELLI,1
1215,"ECHIROLLES, BAYARD",45.14565,5.70465,,GENBAYARD,1
1216,"ECHIROLLES, QUINZAINE",45.15167,5.70689,,GENQUINZAIN,1
1218,"LE PONT-DE-CLAIX, ILES DE MARS",45.13034,5.69971,,GENILESMARS,1
1219,"LE PONT-DE-CLAIX, ILES DE MARS",45.12976,5.69936,,GENILESMARS,1
1220,"ECHIROLLES, ECOLE DE MUSIQUE JEAN WIENER",45.14072,5.70301,,GENECOLMUSI,1
1221,"ECHIROLLES, ECOLE DE MUSIQUE JEAN WIENER",45.14122,5.70336,,GENECOLMUSI,1
1222,"ECHIROLLES, RENE THOMAS",45.15393,5.70747,,GENRENETHOM,1
1223,"ECHIROLLES, RENE THOMAS",45.15455,5.70786,,GENRENETHOM,1
1224,"ECHIROLLES, QUINZAINE",45.15149,5.70664,,GENQUINZAIN,1
1225,"CLAIX, POMPIDOU",45.11993,5.69255,,GENPOMPIDOU,1
1226,"ECHIROLLES, BAYARD",45.14603,5.70431,,GENBAYARD,1
1227,"LE PONT-DE-CLAIX, CLOS DOMINIQUE",45.13581,5.70155,,GENCLOSDOMI,1
1230,"ECHIROLLES, COLONEL MANHES",45.14647,5.70177,,GENCOLMANHE,1
1232,"GIERES, ROSERAIE",45.17901,5.78101,,GENROSERAIE,1
1236,"EYBENS, ODYSSEE",45.1529,5.74902,,GENODYSSEE,1
1238,"ECHIROLLES, PAUL LANGEVIN",45.14346,5.72313,,GENLANGEVIN,1
1239,"ECHIROLLES, PAUL LANGEVIN",45.14327,5.72275,,GENLANGEVIN,1
1241,"CORENC, LE CEDRE",45.20726,5.75533,,GENCEDRE,1
1242,"LA TRONCHE, BASTILLE",45.20444,5.7376,,GENBASTILLE,1
1244,"FONTAINE, RUE DES ALPES",45.19832,5.68145,,GENRUEALPES,0
1245,"POISAT, ROBESPIERRE",45.1598,5.75735,,GENROBESPIE,1
1249,"MEYLAN, JULES FLANDRIN",45.20877,5.75903,,GENJFLANDRI,1
1251,"SEYSSINS, LA BAUME",45.16052,5.68996,,GENLABAUME,1
1252,"VEUREY-VOROIZE, LA RIVE",45.26981,5.61825,,GENVEUREYRI,1
1253,"VEUREY-VOROIZE, LA RIVE",45.26974,5.618,,GENVEUREYRI,1
1258,"SEYSSINET-PARISET, BEAU SITE",45.17592,5.69696,,GENBEAUSITE,1
1259,"MEYLAN, LE CEDRE",45.2078,5.75673,,GENCEDRE,1
1260,"CORENC, JULES FLANDRIN",45.20829,5.7578,,GENJFLANDRI,1
1261,"EYBENS, LES RUIRES-BOETIE",45.14936,5.74115,,GENRUIRES,1
1262,"CORENC, GRESIVAUDAN",45.20997,5.76177,,GENGRESIVAU,1
1263,"SEYSSINET-PARISET, CENTRE-VILLAGE",45.17051,5.68077,,GENCENTRVIL,1
1264,"ECHIROLLES, PAUL HEROULT",45.1478,5.71286,,GENPHEROULT,1
1265,"SAINT-MARTIN-D'HERES, BIBLIOTHEQUES UNIVERSITAIRES",45.19169,5.77029,,GENBIBLIUNI,1
1266,"CLAIX, POMPIDOU",45.11986,5.69267,,GENPOMPIDOU,1
1269,"BRESSON, LES VIGNES",45.13808,5.74566,,GENVIGNES,1
1270,"ECHIROLLES, AUGUSTE FERRIER",45.14491,5.70976,,GENAUGUFERR,1
1272,"GRENOBLE, CLOS D'OR",45.16946,5.72255,,GENCLOSDOR,1
1273,"GRENOBLE, PAUL COCAT",45.17226,5.74478,,GENPAULCOCA,1
1277,"SAINT-MARTIN-D'HERES, CHAMP ROMAN",45.18434,5.76769,,GENCHAMPROM,1
1278,"DOMENE, DOMENE MAIRIE",45.20137,5.83815,,GENDOMENEMA,1
1282,"SAINT-MARTIN-D'HERES, PIERRE COURTADE",45.17952,5.76358,,GENPIERCOUR,1
1283,"GIERES, UNIVERSITES - IUT - UFRAPS",45.19766,5.77588,,GENIUTUFRAP,1
1285,"SAINT-MARTIN-D'HERES, CHAMP ROMAN",45.1839,5.76816,,GENCHAMPROM,1
1286,"SAINT-MARTIN-D'HERES, COLI",45.18028,5.76626,,GENCOLI,1
1287,"SAINT-MARTIN-D'HERES, COLI",45.18085,5.76695,,GENCOLI,1
1292,"SAINT-EGREVE, KARBEN",45.24299,5.67118,,GENKARBEN,1
1293,"SAINT-EGREVE, KARBEN",45.24291,5.67138,,GENKARBEN,1
1294,"SAINT-EGREVE, CAP 38",45.23996,5.66654,,GENCAP38,1
